
time,gFx,gFy,gFz,wx,wy,wz,
0.005,-0.16,0.97,-0.26,-0.16,-0.18,0.02,
0.005,-0.16,0.97,-0.26,-0.16,-0.19,0.02,
0.005,-0.16,0.97,-0.24,-0.16,-0.19,0.02,
0.005,-0.16,0.97,-0.24,-0.17,-0.19,0.02,
0.005,-0.16,0.97,-0.23,-0.17,-0.19,0.02,
0.005,-0.16,0.97,-0.23,-0.16,-0.21,0.02,
0.006,-0.16,0.97,-0.22,-0.16,-0.21,0.02,
0.006,-0.16,0.97,-0.22,-0.15,-0.21,0.01,
0.006,-0.16,0.97,-0.21,-0.15,-0.21,0.01,
0.006,-0.16,0.97,-0.21,-0.14,-0.21,0.02,
0.006,-0.16,0.97,-0.21,-0.14,-0.21,0.02,
0.006,-0.16,0.97,-0.21,-0.13,-0.22,0.01,
0.006,-0.16,0.97,-0.21,-0.13,-0.22,0.01,
0.006,-0.16,0.97,-0.21,-0.11,-0.21,0.01,
0.006,-0.16,0.98,-0.22,-0.11,-0.21,0.01,
0.006,-0.16,0.98,-0.22,-0.11,-0.21,0.01,
0.007,-0.17,0.98,-0.23,-0.11,-0.21,0.01,
0.007,-0.17,0.98,-0.23,-0.09,-0.21,0.01,
0.007,-0.18,0.98,-0.25,-0.09,-0.21,0.01,
0.007,-0.19,0.99,-0.25,-0.09,-0.21,0.01,
0.007,-0.19,0.99,-0.25,-0.09,-0.21,0.01,
0.007,-0.19,0.99,-0.25,-0.08,-0.20,0.01,
0.007,-0.19,0.99,-0.25,-0.07,-0.18,0.01,
0.007,-0.19,0.99,-0.25,-0.06,-0.17,0.02,
0.007,-0.19,0.99,-0.25,-0.06,-0.17,0.02,
0.008,-0.19,0.99,-0.25,-0.06,-0.14,0.02,
0.008,-0.18,1.00,-0.26,-0.06,-0.14,0.02,
0.008,-0.18,1.00,-0.26,-0.05,-0.12,0.02,
0.008,-0.18,1.00,-0.26,-0.05,-0.12,0.02,
0.008,-0.18,1.00,-0.26,-0.04,-0.10,0.01,
0.008,-0.17,1.00,-0.27,-0.04,-0.10,0.01,
0.008,-0.17,1.00,-0.27,-0.03,-0.08,0.01,
0.008,-0.17,1.00,-0.28,-0.03,-0.08,0.01,
0.008,-0.17,1.00,-0.28,-0.02,-0.06,0.00,
0.008,-0.18,1.00,-0.27,-0.02,-0.06,0.00,
0.009,-0.18,1.00,-0.27,-0.02,-0.03,-0.00,
0.009,-0.18,1.00,-0.26,-0.02,-0.03,-0.00,
0.009,-0.18,1.00,-0.26,-0.01,-0.02,-0.01,
0.009,-0.18,0.99,-0.25,-0.01,-0.02,-0.01,
0.009,-0.18,0.99,-0.25,-0.01,-0.01,-0.01,
0.009,-0.18,0.99,-0.24,-0.01,-0.01,-0.01,
0.009,-0.18,0.99,-0.24,-0.00,-0.01,-0.01,
0.009,-0.18,0.99,-0.24,-0.00,-0.01,-0.01,
0.01,-0.18,0.99,-0.24,0.00,-0.01,-0.02,
0.01,-0.17,0.99,-0.24,0.00,-0.01,-0.02,
0.01,-0.17,0.99,-0.24,0.01,-0.01,-0.02,
0.012,-0.17,0.99,-0.24,0.01,-0.01,-0.02,
0.013,-0.17,0.99,-0.24,0.02,-0.01,-0.02,
0.015,-0.17,0.99,-0.23,0.02,-0.01,-0.02,
0.015,-0.17,0.99,-0.23,0.03,-0.01,-0.03,
0.019,-0.17,0.98,-0.24,0.03,-0.01,-0.03,
0.02,-0.17,0.98,-0.24,0.04,-0.01,-0.03,
