
time,gFx,gFy,gFz,wx,wy,wz,
0.002,0.26,0.97,-0.20,-0.05,-0.05,-0.02,
0.003,0.26,0.97,-0.20,-0.05,-0.05,-0.02,
0.003,0.26,0.97,-0.21,-0.05,-0.05,-0.02,
0.003,0.26,0.97,-0.21,-0.05,-0.06,-0.02,
0.003,0.26,0.97,-0.21,-0.05,-0.06,-0.02,
0.003,0.26,0.97,-0.21,-0.06,-0.06,-0.02,
0.003,0.26,0.97,-0.21,-0.06,-0.06,-0.02,
0.004,0.26,0.97,-0.21,-0.07,-0.06,-0.02,
0.004,0.26,0.96,-0.20,-0.07,-0.06,-0.02,
0.004,0.26,0.96,-0.20,-0.07,-0.07,-0.02,
0.004,0.26,0.96,-0.20,-0.07,-0.07,-0.02,
0.004,0.25,0.97,-0.20,-0.07,-0.07,-0.02,
0.004,0.25,0.97,-0.20,-0.08,-0.07,-0.02,
0.005,0.25,0.97,-0.20,-0.08,-0.08,-0.02,
0.005,0.25,0.97,-0.20,-0.08,-0.08,-0.02,
0.005,0.25,0.97,-0.19,-0.08,-0.08,-0.02,
0.005,0.25,0.97,-0.19,-0.08,-0.08,-0.02,
0.005,0.25,0.97,-0.19,-0.08,-0.08,-0.02,
0.005,0.25,0.97,-0.18,-0.08,-0.08,-0.02,
0.005,0.25,0.97,-0.18,-0.08,-0.08,-0.02,
0.006,0.25,0.97,-0.18,-0.08,-0.08,-0.02,
0.006,0.25,0.97,-0.18,-0.08,-0.09,-0.02,
0.006,0.25,0.97,-0.16,-0.08,-0.09,-0.02,
0.006,0.25,0.97,-0.16,-0.07,-0.09,-0.02,
0.006,0.25,0.97,-0.16,-0.07,-0.09,-0.02,
0.006,0.25,0.97,-0.16,-0.07,-0.09,-0.02,
0.008,0.25,0.97,-0.17,-0.07,-0.09,-0.02,
0.008,0.25,0.97,-0.17,-0.07,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.07,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.06,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.06,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.06,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.05,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.05,-0.09,-0.01,
0.015,0.25,0.97,-0.17,-0.05,-0.08,-0.01,
0.016,0.25,0.97,-0.17,-0.05,-0.08,-0.01,
0.017,0.26,0.97,-0.18,-0.05,-0.08,-0.01,
0.017,0.26,0.97,-0.18,-0.05,-0.08,-0.00,
0.02,0.26,0.97,-0.18,-0.05,-0.07,-0.00,
0.02,0.26,0.96,-0.19,-0.05,-0.07,-0.00,
0.021,0.26,0.96,-0.19,-0.05,-0.07,-0.00,
0.022,0.26,0.96,-0.19,-0.04,-0.07,-0.00,
0.024,0.26,0.96,-0.19,-0.03,-0.06,-0.01,
0.024,0.26,0.96,-0.19,-0.03,-0.06,-0.01,
0.029,0.26,0.97,-0.20,-0.03,-0.06,-0.01,
0.03,0.26,0.97,-0.20,-0.04,-0.05,-0.00,
0.03,0.26,0.97,-0.20,-0.04,-0.05,-0.00,
0.031,0.26,0.97,-0.19,-0.04,-0.05,-0.00,
0.031,0.26,0.97,-0.19,-0.04,-0.05,-0.00,
0.031,0.26,0.97,-0.19,-0.03,-0.04,-0.00,
0.032,0.26,0.97,-0.20,-0.03,-0.04,-0.00,
